1,ACC,Acetylcysteinum,"granulat do
sporządzania roztworu
doustnego",200 mg,20 sasz. 3 g,OTC,5909991223885,InPharm Sp. z o.o.,282/15,Hexal Pharma GmbH,Austria
2,ACC,Acetylcysteinum,"proszek do sporządzania
roztworu doustnego",200 mg,20 sasz. 3 g,OTC,5909997219783,Delfarma Sp. z o.o.,882/12,Bexal Farmacéutica S.A.,Hiszpania
3,ACC,Acetylcysteinum,"proszek do sporządzania
roztworu doustnego",200 mg,20 sasz. 3 g,OTC,5909997205472,InPharm Sp. z o.o.,703/11,"Bexal Farmacéutica, S.A.",Hiszpania
4,ACC,Acetylcysteinum,tabletki,200 mg,20 tabl.,OTC,5902023775376,Pretium Farm Sp. z o.o.,354/15,Hexal AG,Niemcy
5,ACC,Acetylcysteinum,tabletki musujące,200 mg,"20 tabl.
25 tabl.","OTC
OTC","5909997208695
5909997211305",InPharm Sp. z o.o.,193/12,Hexal AG,Niemcy
6,ACC,Acetylcysteinum,tabletki musujące,200 mg,"20 tabl.
25 tabl.","OTC
OTC","5909997209265
5909991204990",Delfarma Sp. z o.o.,233/12,Hexal AG,Niemcy
7,ACC,Acetylcysteinum,tabletki musujące,200 mg,"20 tabl.
25 tabl.","OTC
OTC","5909997212531
5909997231617","PharmaVitae Sp. z o.o. sp.
k.",448/12,Hexal AG,Niemcy
8,ACC,Acetylcysteinum,tabletki musujące,200 mg,"20 tabl.
25 tabl.","OTC
OTC","5902023770777
5902023770784",Pretium Farm Sp. z o.o.,186/13,Hexal AG,Niemcy
9,ACC,Acetylcysteinum,tabletki musujące,200 mg,20 tabl.,OTC,5909997223919,Avrentim Sp. z o.o.,318/13,Hexal AG,Niemcy
10,ACC,Acetylcysteinum,tabletki musujące,200 mg,20 tabl.,OTC,5909997232492,Aga Kommerz spol. s.r.o.,205/14,Hexal AG,Niemcy
11,ACC,Acetylcysteinum,tabletki musujące,200 mg,"20 tabl.
25 tabl.","OTC
OTC","5909991232375
5909991279899","Laboratorium Galenowe
Olsztyn Sp. z o.o.",514/15,Hexal AG,Niemcy
12,ACC,Acetylcysteinum,tabletki musujące,200 mg,20 tabl.,OTC,5909997212340,Delfarma Sp. z o.o.,490/12,Hexal Pharma GmbH,Austria
13,ACC,Acetylcysteinum,tabletki musujące,200 mg,"20 tabl.
25 tabl.","OTC
OTC","5909997075563
5909997208565",Forfarm Sp. z o.o.,121/10,Hexal AG,Niemcy
14,ACC 600,Acetylcysteinum,tabletki musujące,600 mg,"10 tabl.
20 tabl.","Rp
Rp","5909997205601
5909997205618",Recipio Sp. z o.o.,3/12,Hexal Pharma GmbH,Austria
15,ACC 600,Acetylcysteinum,tabletki musujące,600 mg,"10 tabl.
20 tabl.","Rp
Rp","5909997208541
5909997208558","Laboratorium Galenowe
Olsztyn Sp. z o.o.",179/12,Hexal Pharma GmbH,Austria
"",,,,,,,,,,,
16,ACC Hot,Acetylcysteinum,"granulat do
sporządzania roztworu
doustnego",200 mg,20 sasz. 3 g,OTC,5909997212739,Delfarma Sp. z o.o.,489/12,Hexal Pharma GmbH,Austria
17,ACC Max,Acetylcysteinum,tabletki,200 mg,20 tabl.,OTC,5909997206851,"Blau Farma Group Sp. z
o.o. - S.K.A.",83/12,Hexal AG,Niemcy
